"","country","endemic_species_count"
"1","Algeria",1
"2","Angola",7
"3","Argentina",23
"4","Arunachal Pradesh",1
"5","Australia",4
"6","Benin",2
"7","Bhutan",3
"8","Bolivia",9
"9","Botswana",1
"10","Brazil",35
"11","Burkina Faso",1
"12","Cambodia",1
"13","Cameroon",20
"14","Canada",7
"15","Central African Republic",7
"16","Chad",2
"17","Chile",4
"18","China",39
"19","Colombia",11
"20","Costa Rica",3
"21","Cuba",6
"22","Côte d'Ivoire",9
"23","Democratic Republic of the Congo",14
"24","Dominican Republic",5
"25","Ecuador",11
"26","Ethiopia",4
"27","Fiji",1
"28","French Guiana",12
"29","Gabon",5
"30","Ghana",3
"31","Guam",1
"32","Guatemala",4
"33","Guinea",6
"34","Honduras",8
"35","India",23
"36","Indonesia",25
"37","Jamaica",1
"38","Japan",4
"39","Kazakhstan",1
"40","Kenya",7
"41","Laos",1
"42","Liberia",1
"43","Madagascar",10
"44","Malawi",1
"45","Malaysia",3
"46","Mali",2
"47","Mauritius",2
"48","Micronesia",1
"49","Mongolia",1
"50","Mozambique",3
"51","Myanmar",2
"52","México",16
"53","New Caledonia",1
"54","New Zealand",1
"55","Nigeria",3
"56","North Korea",2
"57","Northern Mariana Islands",3
"58","Pakistan",6
"59","Panama",1
"60","Papua New Guinea",1
"61","Paraguay",14
"62","Peru",10
"63","Philippines",10
"64","Portugal",1
"65","Puerto Rico",3
"66","Republic of the Congo",6
"67","Rwanda",1
"68","Saint Helena, Ascension and Tris",1
"69","Samoa",1
"70","Senegal",2
"71","Seychelles",1
"72","Sierra Leone",3
"73","South Africa",6
"74","South Korea",1
"75","Spain",1
"76","Sri Lanka",1
"77","Suriname",1
"78","Taiwan",5
"79","Tanzania",6
"80","Thailand",3
"81","Timor-Leste",2
"82","Togo",1
"83","Trinidad and Tobago",1
"84","Turkey",4
"85","Uganda",6
"86","United States",32
"87","Uruguay",10
"88","Vanuatu",1
"89","Venezuela",8
"90","Vietnam",10
"91","Zambia",3
"92","Zimbabwe",4
